phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
2749794,http://ofertasnovembro.com.br/677864456/loja/ofertas/229196/cadastro_cliente.php,http://www.phishtank.com/phish_detail.php?phish_id=2749794,2014-11-07T11:40:54+00:00,yes,2014-11-07T11:43:01+00:00,yes,Other
2749789,http://dotz.freeoda.com/home.asp/,http://www.phishtank.com/phish_detail.php?phish_id=2749789,2014-11-07T11:34:12+00:00,yes,2014-11-07T11:36:36+00:00,yes,Other
2749426,http://fire.ck.ua/yden.php,http://www.phishtank.com/phish_detail.php?phish_id=2749426,2014-11-07T06:39:33+00:00,yes,2014-11-07T08:18:06+00:00,yes,"Capitec Bank"
2749230,http://glucktravel.com/datapage/8888473.php/,http://www.phishtank.com/phish_detail.php?phish_id=2749230,2014-11-07T05:50:53+00:00,yes,2014-11-07T06:14:04+00:00,yes,Other
2749228,http://eney-if.com.ua/dcen/cr.sedin/sdac/denc.php,http://www.phishtank.com/phish_detail.php?phish_id=2749228,2014-11-07T05:02:40+00:00,yes,2014-11-07T06:07:39+00:00,yes,"Capitec Bank"
2748971,https://dl.dropboxusercontent.com/u/353234141/UPGRADE-CREDIT-CARD-ON-FACEBOOK.COM.htm,http://www.phishtank.com/phish_detail.php?phish_id=2748971,2014-11-07T02:10:53+00:00,yes,2014-11-07T10:37:37+00:00,yes,Facebook
2748598,http://kovacsdr.hu/wtk/fpdf/asb.co.nz/,http://www.phishtank.com/phish_detail.php?phish_id=2748598,2014-11-06T23:11:20+00:00,yes,2014-11-07T10:53:51+00:00,yes,"ASB Bank Limited"
2748516,http://programarotaturistica.com.br/amazon/698c81192083f9710b681b7fc07c7726/login.php?action=billing_login=true&amp;_session;d5bf1dc17e02a638a4ea88d5a6057019d5bf1dc17e02a638a4ea88d5a6057019,http://www.phishtank.com/phish_detail.php?phish_id=2748516,2014-11-06T22:55:30+00:00,yes,2014-11-07T06:17:29+00:00,yes,Amazon.com
2748503,http://caiuscha.com/toncho23ooXEfG123oSS09o54oo/valuing.html,http://www.phishtank.com/phish_detail.php?phish_id=2748503,2014-11-06T22:29:22+00:00,yes,2014-11-07T01:12:59+00:00,yes,AOL
2748501,http://www.giannioliva.net/wp-content/themes/twentytwelve/1up/,http://www.phishtank.com/phish_detail.php?phish_id=2748501,2014-11-06T22:28:55+00:00,yes,2014-11-07T06:17:30+00:00,yes,PayPal
